message_id,action,message_type,reason,confidence,evidence_message_ids
msg_010,notify,business_update,direct mention; active business relationship,0.86,message_0242;message_0011;message_0075
msg_078,mute,forward,forward is low-value for this user,0.69,message_0211;message_0220;message_0356
msg_013,mute,promotion,promotion is low-value for this user,0.70,message_0081;message_0082
msg_018,mute,forward,forward is low-value for this user,0.69,message_0026;message_0092;message_0091
msg_044,mute,scam,safety risk detected,0.78,message_0143;message_0144;message_0036
msg_032,digest,unknown,unknown is safe but non-urgent,0.62,message_0119;message_0285;message_0374
msg_106,notify,urgent,direct mention,0.97,message_0376;message_0234;message_0377
msg_006,notify,urgent,trusted group admin,0.84,message_0097;message_0067;message_0044
msg_109,digest,unknown,trusted group admin,0.70,message_0151;message_0150;message_0237
msg_108,notify,urgent,direct mention,0.90,message_0094;message_0093;message_0277
msg_019,digest,business_update,business update is safe but non-urgent,0.62,message_0277;message_0276;message_0275
msg_088,digest,unknown,unknown is safe but non-urgent,0.62,message_0383;message_0335;message_0232
msg_056,digest,event,direct mention,0.81,message_0359;message_0226;message_0241
msg_027,notify,business_update,direct mention; active business relationship,0.86,message_0272;message_0033;message_0007
msg_050,digest,event,active business relationship,0.75,message_0279;message_0278;message_0155
msg_083,digest,unknown,trusted group admin,0.70,message_0219
msg_063,digest,urgent,urgent is safe but non-urgent,0.76,message_0364;message_0254;message_0182
msg_033,notify,urgent,direct mention,0.90,message_0372;message_0121;message_0409
msg_061,mute,forward,forward is low-value for this user,0.69,message_0193;message_0177;message_0080
msg_020,digest,urgent,urgent is safe but non-urgent,0.76,message_0114;message_0096;message_0049
msg_017,digest,urgent,urgent is safe but non-urgent,0.76,message_0090;message_0089;message_0319
msg_058,mute,forward,forward is low-value for this user,0.69,message_0241;message_0040;message_0039
msg_026,digest,business_update,business update is safe but non-urgent,0.62,message_0032;message_0107;message_0261
msg_047,notify,urgent,trusted group admin,0.84,message_0001;message_0237;message_0216
msg_046,mute,scam,safety risk detected,0.78,message_0148;message_0147;message_0407
msg_042,digest,unknown,trusted group admin,0.70,message_0140;message_0058;message_0240
msg_079,mute,scam,safety risk detected,0.78,message_0369;message_0045;message_0023
msg_098,notify,urgent,direct mention,0.97,message_0226;message_0359;message_0225
msg_037,digest,unknown,trusted group admin,0.70,message_0001;message_0410;message_0271
msg_007,digest,unknown,trusted group admin,0.70,message_0276;message_0275;message_0277
msg_085,digest,business_update,business update is safe but non-urgent,0.62,message_0221
msg_001,digest,unknown,trusted group admin,0.70,message_0240;message_0139;message_0057
msg_021,notify,urgent,trusted group admin,0.84,message_0216;message_0190;message_0180
msg_028,digest,business_update,active business relationship,0.73,message_0034;message_0402;message_0257
msg_012,mute,forward,forward is low-value for this user,0.69,message_0194;message_0178;message_0079
msg_064,digest,payment,payment is safe but non-urgent,0.76,message_0201;message_0183;message_0087
msg_103,notify,personal,direct mention,0.92,message_0065;message_0382;message_0049
msg_031,notify,urgent,trusted group admin,0.84,message_0362;message_0249;message_0228
msg_057,notify,urgent,trusted group admin; direct mention,0.97,message_0169;message_0059;message_0003
msg_087,digest,unknown,unknown is safe but non-urgent,0.62,message_0391;message_0389;message_0358
msg_067,notify,payment,trusted group admin,0.84,message_0098;message_0068;message_0097
msg_039,notify,urgent,trusted group admin; direct mention,0.97,message_0364;message_0051;message_0403
msg_082,digest,unknown,trusted group admin,0.70,message_0397;message_0380;message_0218
msg_066,digest,forward,active business relationship,0.66,message_0402;message_0257;message_0052
msg_049,digest,business_update,active business relationship,0.73,message_0154;message_0291;message_0153
msg_015,mute,scam,safety risk detected,0.78,message_0045;message_0023;message_0221
msg_051,digest,forward,active business relationship,0.66,message_0257;message_0402;message_0052
msg_097,notify,urgent,urgent is time-sensitive,0.93,message_0359;message_0225;message_0167
msg_089,notify,urgent,direct mention,0.97,message_0396;message_0299;message_0301
msg_053,digest,forward,direct mention,0.69,message_0161;message_0253;message_0411
msg_059,notify,urgent,direct mention,0.90,message_0221;message_0263;message_0053
msg_024,digest,forward,active business relationship,0.66,message_0257;message_0402;message_0052
msg_072,mute,scam,safety risk detected,0.78,message_0213;message_0199;message_0195
msg_036,digest,business_update,business update is safe but non-urgent,0.62,message_0283;message_0127;message_0281
msg_076,digest,business_update,business update is safe but non-urgent,0.62,message_0208;message_0207;message_0159
msg_055,digest,unknown,direct mention,0.75,message_0166;message_0165;message_0387
msg_102,digest,personal,personal is safe but non-urgent,0.79,message_0371;message_0230;message_0170
msg_080,digest,unknown,trusted group admin,0.70,message_0216;message_0190;message_0180
msg_093,mute,scam,safety risk detected,0.78,message_0398;message_0349;message_0348
msg_034,mute,forward,forward is low-value for this user,0.69,message_0167;message_0013;message_0171
msg_035,digest,business_update,active business relationship,0.73,message_0281;message_0125;message_0283
msg_101,notify,personal,direct mention,0.92,message_0370;message_0268;message_0229
msg_041,notify,urgent,direct mention,0.93,message_0138;message_0137;message_0360
msg_011,mute,forward,forward is low-value for this user,0.69,message_0171;message_0123;message_0077
msg_110,notify,urgent,urgent is time-sensitive,0.93,message_0238;message_0320;message_0381
msg_095,digest,personal,personal is safe but non-urgent,0.79,message_0201;message_0183;message_0087
msg_074,mute,forward,forward is low-value for this user,0.69,message_0203;message_0204;message_0389
msg_073,digest,forward,direct mention,0.69,message_0202;message_0201;message_0184
msg_054,digest,urgent,urgent is safe but non-urgent,0.76,message_0389;message_0163;message_0358
msg_068,digest,unknown,unknown is safe but non-urgent,0.62,message_0191;message_0192
msg_100,notify,personal,direct mention,0.92,message_0362;message_0228;message_0249
msg_062,digest,forward,trusted group admin,0.63,message_0043;message_0098;message_0068
msg_096,digest,personal,personal is safe but non-urgent,0.79,none
msg_043,digest,forward,trusted group admin,0.63,message_0216;message_0215;message_0190
msg_077,notify,urgent,trusted group admin,0.84,message_0051;message_0403;message_0364
msg_081,digest,unknown,trusted group admin,0.70,message_0217
msg_025,notify,business_update,direct mention; active business relationship,0.86,message_0239;message_0004;message_0105
msg_084,digest,business_update,active business relationship,0.73,message_0220
msg_022,digest,urgent,urgent is safe but non-urgent,0.76,message_0151;message_0099;message_0270
